iter	Logloss
148	0.4933961489
149	0.493379273
150	0.4933382433
151	0.4933097085
152	0.4932444889
153	0.4931905423
154	0.4931356696
155	0.4931128642
156	0.4930743165
157	0.493048927
158	0.4930131931
159	0.4929813909
160	0.4929548758
161	0.492918621
162	0.4929000259
163	0.4928567855
164	0.4928032982
165	0.4927685528
166	0.4927269104
167	0.4926494983
168	0.4925961798
169	0.4925691039
170	0.4925265031
171	0.4924656414
172	0.4924413514
173	0.4924025131
174	0.49237736
175	0.4923501781
176	0.4923184361
177	0.492289848
178	0.4922355027
179	0.4921741706
180	0.4921453971
181	0.4920805007
182	0.4920505484
183	0.4920207159
184	0.4919863927
185	0.491947625
186	0.4919020686
187	0.4918558177
188	0.4918556734
189	0.491806559
190	0.4917937562
191	0.4917734942
192	0.4917425765
193	0.4917151742
194	0.4917004401
195	0.4916674266
196	0.4916380074
197	0.4915976731
198	0.4915755488
199	0.4915402276
200	0.4914769196
201	0.4914409861
202	0.491393269
203	0.4913177461
204	0.491286328
205	0.4912507604
206	0.4912342093
207	0.4911756002
208	0.4911261458
209	0.491084955
210	0.4910411478
211	0.4910079255
212	0.4909719218
213	0.4909479958
214	0.4909156984
215	0.4908700875
216	0.4908519593
217	0.4908266538
218	0.490805332
219	0.4907839216
220	0.4907406553
221	0.4906961904
222	0.4906399709
223	0.4905807665
224	0.4905533711
225	0.4905038549
226	0.4904661219
227	0.4904268038
228	0.4903905198
229	0.4903628628
230	0.4903221709
231	0.490286961
232	0.4902595641
233	0.4902279334
234	0.4901916133
235	0.4901304039
236	0.4901014316
237	0.4900779773
238	0.4900470135
239	0.4900260661
240	0.4899773288
241	0.4899364155
242	0.489906959
243	0.4898685432
244	0.4898135736
245	0.4897628271
246	0.4897243703
247	0.4896887945
248	0.4896464777
249	0.4896061128
250	0.4895784855
251	0.4895223726
252	0.4894771607
253	0.4894273037
254	0.4893703377
255	0.4893396189
256	0.4893155878
257	0.4892801985
258	0.4892424098
259	0.4892017927
260	0.4891573401
261	0.4891264154
262	0.4890850975
263	0.4890576192
264	0.489018415
265	0.4889747265
266	0.4889530758
267	0.4888889697
268	0.4888539673
269	0.4888048641
270	0.4887609649
271	0.4887150926
272	0.4886617524
273	0.4886331767
274	0.4886013989
275	0.4885637592
276	0.4885272787
277	0.4884936163
278	0.4884487811
279	0.4884333772
280	0.488366755
281	0.4883287473
282	0.488294705
283	0.4882383585
284	0.4881969526
285	0.4881545654
286	0.4881091438
287	0.4880679449
288	0.4880266757
289	0.487994077
290	0.4879497529
291	0.4879225303
292	0.4878901961
293	0.4878333769
294	0.4878019489
295	0.487757444
296	0.4877101476
297	0.4876438085
298	0.4875909249
299	0.4875682277
300	0.4875384882
301	0.487497904
302	0.48743894
303	0.4873900823
304	0.4873426802
305	0.487285583
306	0.4872617263
307	0.4872353213
308	0.4871863403
309	0.4871470922
310	0.487079311
311	0.4870493728
312	0.4870058175
313	0.4869579072
314	0.4869067919
315	0.4868508591
316	0.4868026722
317	0.4867427046
318	0.4866931261
319	0.4866481529
320	0.4865780972
321	0.486517319
322	0.4864544277
323	0.486416427
324	0.4863646271
325	0.4863121337
326	0.4862649186
327	0.4862217181
328	0.4861705534
329	0.4861179541
330	0.4860804848
331	0.4860262228
332	0.4859710044
333	0.4859097138
334	0.485875429
335	0.4858150869
336	0.4857406481
337	0.4857124537
338	0.4856613721
339	0.4856142974
340	0.485559859
341	0.4855231818
342	0.4854916878
343	0.485463292
344	0.4854368182
345	0.4853892958
346	0.4853419858
347	0.4852927383
348	0.4852447569
349	0.4851935064
350	0.4851499928
351	0.4850963433
352	0.4850552845
353	0.4850256912
354	0.4849793572
355	0.4849374552
356	0.4848991475
357	0.484870102
358	0.4848182958
359	0.4847846717
360	0.4847380064
361	0.484685394
362	0.4846325391
363	0.4846085253
364	0.4845459196
365	0.4845002546
366	0.484476062
367	0.4844301512
368	0.4843776435
369	0.4843131377
370	0.4842701524
371	0.4842371762
372	0.4842004969
373	0.4841585652
374	0.4841335146
375	0.4840999968
376	0.484051716
377	0.4840086007
378	0.4839750739
379	0.4839385284
380	0.4838870969
381	0.4838334897
382	0.4837821367
383	0.4837238435
384	0.4836794437
385	0.4836426245
386	0.483601804
387	0.4835623294
388	0.4835248609
389	0.483470708
390	0.4834223192
391	0.4834017812
392	0.4833551958
393	0.4833132434
394	0.4832737689
395	0.4832435083
396	0.4832091494
397	0.4831699954
398	0.4831238398
399	0.4830802628
400	0.4830410383
401	0.4829981823
402	0.4829649879
403	0.4829274476
404	0.4828897606
405	0.4828423068
406	0.482782142
407	0.4827461137
408	0.482683792
409	0.4826479667
410	0.4826185743
411	0.4825628818
412	0.4825197507
413	0.4824820257
414	0.4824139859
415	0.4823766754
416	0.4823168117
417	0.4822922903
418	0.4822617823
419	0.4821967879
420	0.4821238492
421	0.4820697094
422	0.4820164101
423	0.4819875369
424	0.4819566108
425	0.4818758442
426	0.4818021947
427	0.481735732
428	0.481681908
429	0.4816263453
430	0.4815994139
431	0.481555231
432	0.481519677
433	0.4814556143
434	0.4813983599
435	0.4813638058
436	0.4813233769
437	0.4812906301
438	0.4812576383
439	0.481227804
440	0.4811740014
441	0.4811361302
442	0.4810988284
443	0.4810688008
444	0.4810148347
445	0.4809741765
446	0.4809135433
447	0.4808831526
448	0.4808415904
449	0.4808093843
450	0.480783627
451	0.4807317322
452	0.4807028991
453	0.4806735557
454	0.4806372839
455	0.4806184036
456	0.4805756455
457	0.480544361
458	0.4805174788
459	0.4804755719
460	0.4804067056
461	0.4803791523
462	0.4803356541
463	0.4803100568
464	0.4802565075
465	0.4802223199
466	0.4801767002
467	0.480118477
468	0.4800729554
469	0.4800262519
470	0.4799773054
471	0.4799365355
472	0.4799119808
473	0.4798758501
474	0.479836379
475	0.4797959755
476	0.4797734777
477	0.4797215476
478	0.4796936608
479	0.4796648376
480	0.4796235183
481	0.4795941344
482	0.4795618199
483	0.4795179994
484	0.4794640465
485	0.4794281574
486	0.4793845014
487	0.4793486451
488	0.4792830511
489	0.479221467
490	0.4791861421
491	0.4791505742
492	0.4791113891
493	0.4790684348
494	0.4790340995
495	0.4789987672
496	0.4789318103
497	0.4789049854
498	0.4788641218
499	0.478822301
500	0.4787815802
501	0.4787451507
502	0.4787091889
503	0.4786557153
504	0.4786193513
505	0.4785858938
506	0.478533615
507	0.4784557864
508	0.478435947
509	0.4783915374
510	0.4783427859
511	0.4783045974
512	0.478260323
513	0.4782092341
514	0.4781823647
515	0.4781419382
516	0.4781187995
517	0.4780725759
518	0.4780282104
519	0.4779806421
520	0.4779494706
521	0.4779153694
522	0.4778939305
523	0.4778644489
524	0.4778263666
525	0.4777968439
526	0.4777578528
527	0.4777116399
528	0.4776628158
529	0.4776404085
530	0.4775792947
531	0.4775459101
532	0.477515739
533	0.4774867817
534	0.4774476721
535	0.4774217236
536	0.4773666633
537	0.4773456161
538	0.477292629
539	0.4772489356
540	0.4772212535
541	0.4771758236
542	0.4771567481
543	0.4771055458
544	0.4770781137
545	0.4770467824
546	0.4770035675
547	0.4769428994
548	0.4769019052
549	0.4768533561
550	0.4768281614
551	0.4767897581
552	0.4767633503
553	0.4767440835
554	0.4767035254
555	0.4766728175
556	0.4766566388
557	0.4766144315
558	0.4765803033
559	0.4765585351
560	0.4765186224
561	0.4764747088
562	0.4764348778
563	0.4763727216
564	0.4763453865
565	0.476309412
566	0.4762748849
567	0.4762406578
568	0.4761921133
569	0.4761422196
570	0.4761143932
571	0.4760671683
572	0.4760396932
573	0.4759908683
574	0.4759745593
575	0.4759257152
576	0.4758941069
577	0.4758681692
578	0.4758081443
579	0.4757816026
580	0.4757557847
581	0.4757128597
582	0.4756909521
583	0.4756585237
584	0.4756163808
585	0.4755734431
586	0.4755416883
587	0.4755049085
588	0.4754560655
589	0.4754135132
590	0.4753740086
591	0.4753126012
592	0.4752810235
593	0.4752404862
594	0.4752009691
595	0.4751475703
596	0.4751212638
597	0.4750773524
598	0.475043928
599	0.4750009256
600	0.4749453279
601	0.474894156
602	0.4748661823
603	0.4748194041
604	0.4747846317
605	0.4747362254
606	0.4747024486
607	0.4746620525
608	0.4746249311
609	0.4745556289
610	0.4745161173
611	0.4744521559
612	0.47441788
613	0.4743891527
614	0.4743302584
615	0.4742809364
616	0.474245302
617	0.4742185768
618	0.474192708
619	0.4741644525
620	0.4741469997
621	0.4741184949
622	0.4740785655
623	0.4740405843
624	0.474000212
625	0.4739615359
626	0.473941227
627	0.4738760079
628	0.4738471242
629	0.4737996497
630	0.4737420769
631	0.4737248906
632	0.4736702733
633	0.4736169894
634	0.4735747992
635	0.4735408051
636	0.4735194946
637	0.4734778648
638	0.4734498806
639	0.4733964503
640	0.4733596984
641	0.4733176136
642	0.4732918596
643	0.4732502464
644	0.4732222615
645	0.4731879919
646	0.4731580175
647	0.4731205492
648	0.4730846861
649	0.4730492047
650	0.4730259326
651	0.4729703143
652	0.4729256056
653	0.4728856568
654	0.4728452296
655	0.472777852
656	0.4727398451
657	0.4727085487
658	0.4726590867
659	0.472612931
660	0.4725885356
661	0.4725595762
662	0.4725240905
663	0.4724895618
664	0.4724619245
665	0.472418729
666	0.4723864877
667	0.4723272358
668	0.4722671687
669	0.4722459339
670	0.4722151438
671	0.4721749512
672	0.4721593283
673	0.4721103397
674	0.472074509
675	0.4720347391
676	0.4720139546
677	0.4719690868
678	0.4719382323
679	0.4718931989
680	0.4718492955
681	0.4718069116
682	0.4717633671
683	0.4717128546
684	0.47167844
685	0.4716393686
686	0.4716066174
687	0.4715586384
688	0.4715320992
689	0.471503215
690	0.4714884109
691	0.4714670044
692	0.471444887
693	0.4714111515
694	0.4713875234
695	0.4713508197
696	0.4713195187
697	0.4712784343
698	0.4712404609
699	0.4712071542
700	0.4711575787
701	0.4711274059
702	0.4710793912
703	0.4710358739
704	0.4709940471
705	0.4709451659
706	0.4709341752
707	0.4708990353
708	0.4708699977
709	0.4708475025
710	0.4708206785
711	0.4707734244
712	0.4707211512
713	0.4706842934
714	0.4706582718
715	0.4706343021
716	0.4705922958
717	0.4705507471
718	0.4705177966
719	0.4704933268
720	0.4704545185
721	0.4704223391
722	0.4703833359
723	0.4703434478
724	0.4702955124
725	0.4702459578
726	0.4702031365
727	0.4701704543
728	0.4701368345
729	0.4701163407
730	0.4700716244
731	0.4700519339
732	0.4699899779
733	0.4699549934
734	0.4699033371
735	0.4698548839
736	0.4698249084
737	0.4697869453
738	0.4697530171
739	0.4697144971
740	0.4696737312
741	0.4696434832
742	0.4696135574
743	0.4695781142
744	0.4695380978
745	0.4694976572
746	0.4694661096
747	0.4694233656
748	0.4693706682
749	0.4693438643
750	0.4693088184
751	0.4692857134
752	0.4692587328
753	0.4692220599
754	0.4691988742
755	0.4691679752
756	0.4691295047
757	0.4691088492
758	0.4690892362
759	0.4690651095
760	0.4690242106
761	0.4689596483
762	0.4689301291
763	0.4688878026
764	0.4688703137
765	0.4688178468
766	0.4687859216
767	0.4687477902
768	0.4686869675
769	0.4686710018
770	0.4686252497
771	0.4685788721
772	0.4685412628
773	0.4685058807
774	0.4684829189
775	0.4684449132
776	0.468421337
777	0.468390196
778	0.4683424371
779	0.4683142248
780	0.46827858
781	0.4682574041
782	0.468218919
783	0.4681847798
784	0.4681443155
785	0.4681152203
786	0.4680869438
787	0.4680552354
788	0.4679849282
789	0.4679475529
790	0.467918763
791	0.4678780967
792	0.4678675874
793	0.4678486148
794	0.4678346305
795	0.4678045638
796	0.4677781462
797	0.4677471412
798	0.4677233368
799	0.4676980275
800	0.4676769331
801	0.4676540353
802	0.4676292579
803	0.4675765416
804	0.4675333147
805	0.467500967
806	0.4674684015
807	0.4674472672
808	0.4674168024
809	0.4673901843
810	0.467356673
811	0.4673211246
812	0.4672972247
813	0.4672653273
814	0.4672166355
815	0.4671969608
816	0.4671607956
817	0.4671388419
818	0.4670980971
819	0.467071097
820	0.4670427127
821	0.4670232239
822	0.4669885278
823	0.4669731375
824	0.4669405774
825	0.4669219488
826	0.4668747
827	0.4668453647
828	0.4668052336
829	0.4667880894
830	0.466753976
831	0.4667081952
832	0.4666701283
833	0.4666483468
834	0.4666222492
835	0.4666033187
836	0.4665667707
837	0.4665375372
838	0.4665166815
839	0.4664958609
840	0.466456699
841	0.4664058741
842	0.4663531485
843	0.4663310247
844	0.4662739428
845	0.4662413689
846	0.4662209125
847	0.4661858797
848	0.4661512394
849	0.4661275909
850	0.4661010442
851	0.4660653803
852	0.4660260744
853	0.4659942846
854	0.4659593934
855	0.4659123718
856	0.4658710414
857	0.4658329281
858	0.4658064838
859	0.4657771009
860	0.4657556973
861	0.4657324492
862	0.4656957495
863	0.4656592828
864	0.4656268955
865	0.4655778968
866	0.4655354498
867	0.4655006977
868	0.4654780641
869	0.4654316182
870	0.465404344
871	0.4653814437
872	0.4653683957
873	0.4653264863
874	0.4652888428
875	0.4652583249
876	0.4652248418
877	0.4651931774
878	0.4651777421
879	0.465162853
880	0.4651299407
881	0.4650974755
882	0.4650521999
883	0.4650300666
884	0.4649951713
885	0.4649664745
886	0.4649470785
887	0.4649212281
888	0.4649036495
889	0.4648817677
890	0.4648581553
891	0.4648279443
892	0.4647849894
893	0.4647642908
894	0.4647278026
895	0.464688009
896	0.4646786168
897	0.4646606724
898	0.4646299916
899	0.4645843294
900	0.4645516257
901	0.4645263457
902	0.4644832898
903	0.4644593672
904	0.4644186129
905	0.4644024597
906	0.4643766324
907	0.4643358381
908	0.4642965637
909	0.4642615832
910	0.4642223535
911	0.4642108645
912	0.4641766331
913	0.4641378093
914	0.4641042188
915	0.4640779768
916	0.4640488041
917	0.4640110183
918	0.4639891906
919	0.4639499107
920	0.4638971372
921	0.463865786
922	0.4638580852
923	0.4638121279
924	0.4637938191
925	0.4637603944
926	0.4637170274
927	0.4636775975
928	0.4636079416
929	0.4635790757
930	0.4635537888
931	0.4635232331
932	0.4634955599
933	0.4634470859
934	0.4634088417
935	0.4633849139
936	0.4633448398
937	0.4633241503
938	0.4632830683
939	0.4632330316
940	0.4631994399
941	0.4631726451
942	0.4631528984
943	0.4631243571
944	0.4631114445
945	0.4630908485
946	0.4630379441
947	0.4630035179
948	0.4629762349
949	0.4629606642
950	0.4629358241
951	0.4629080935
952	0.4628892345
953	0.4628522034
954	0.4628147344
955	0.4627832557
956	0.4627505239
957	0.462728407
958	0.4626807742
959	0.4626594307
960	0.4626429888
961	0.4626331181
962	0.46261869
963	0.4626113045
964	0.462593588
965	0.4625553965
966	0.4625208675
967	0.4624926485
968	0.4624738394
969	0.4624383127
970	0.4624020391
971	0.4623851632
972	0.4623531463
973	0.4623339005
974	0.4623037937
975	0.4622841664
976	0.4622581766
977	0.4622381186
978	0.4622206143
979	0.4621897697
980	0.4621528192
981	0.4621249312
982	0.4620984276
983	0.4620596538
984	0.4620246664
985	0.4619818807
986	0.4619512354
987	0.4619076666
988	0.4618874375
989	0.4618439619
990	0.4618006838
991	0.4617554775
992	0.4617192909
993	0.4616792163
994	0.4616537773
995	0.461625073
996	0.4615773149
997	0.4615633444
998	0.4615517672
999	0.4615133489
