iter	Passed	Remaining
162	1543	7926
163	1556	7934
164	1565	7920
165	1574	7908
166	1584	7902
167	1592	7887
168	1604	7889
169	1612	7874
170	1622	7865
171	1631	7853
172	1642	7849
173	1653	7847
174	1664	7848
175	1676	7850
176	1690	7860
177	1704	7869
178	1717	7876
179	1731	7886
180	1740	7875
181	1753	7879
182	1764	7878
183	1773	7865
184	1782	7853
185	1791	7841
186	1802	7837
187	1813	7831
188	1818	7801
189	1829	7798
190	1838	7788
191	1848	7779
192	1860	7780
193	1872	7777
194	1882	7771
195	1893	7766
196	1904	7762
197	1916	7760
198	1925	7750
199	1936	7747
200	1947	7741
201	1958	7736
202	1969	7731
203	1982	7736
204	1992	7727
205	2001	7715
206	2011	7706
207	2020	7694
208	2033	7694
209	2045	7695
210	2056	7689
211	2067	7685
212	2078	7679
213	2091	7680
214	2101	7673
215	2112	7666
216	2122	7657
217	2131	7646
218	2143	7645
219	2153	7636
220	2165	7631
221	2176	7628
222	2187	7622
223	2196	7608
224	2205	7595
225	2213	7581
226	2224	7573
227	2233	7563
228	2243	7551
229	2252	7540
230	2262	7531
231	2273	7526
232	2282	7512
233	2291	7502
234	2301	7492
235	2310	7478
236	2319	7467
237	2328	7454
238	2338	7445
239	2348	7437
240	2359	7429
241	2368	7420
242	2378	7410
243	2395	7423
244	2409	7423
245	2420	7418
246	2434	7420
247	2446	7418
248	2457	7412
249	2470	7410
250	2481	7406
251	2490	7392
252	2502	7389
253	2517	7395
254	2532	7398
255	2548	7405
256	2565	7415
257	2579	7418
258	2593	7419
259	2605	7415
260	2622	7424
261	2637	7428
262	2652	7433
263	2666	7432
264	2681	7436
265	2693	7433
266	2705	7427
267	2719	7428
268	2734	7432
269	2750	7435
270	2763	7434
271	2777	7433
272	2786	7419
273	2797	7413
274	2808	7404
275	2819	7395
276	2830	7388
277	2840	7377
278	2849	7364
279	2860	7355
280	2869	7342
281	2877	7327
282	2887	7315
283	2899	7308
284	2911	7305
285	2921	7294
286	2932	7286
287	2944	7279
288	2953	7267
289	2962	7253
290	2973	7245
291	2984	7235
292	2993	7222
293	3002	7210
294	3011	7197
295	3021	7186
296	3030	7172
297	3040	7161
298	3048	7147
299	3057	7133
300	3067	7123
301	3076	7111
302	3085	7098
303	3094	7083
304	3106	7078
305	3115	7066
306	3126	7057
307	3138	7052
308	3149	7043
309	3159	7031
310	3170	7024
311	3180	7012
312	3191	7004
313	3204	7000
314	3214	6990
315	3225	6981
316	3235	6972
317	3244	6958
318	3255	6949
319	3266	6940
320	3276	6930
321	3286	6920
322	3296	6910
323	3306	6898
324	3318	6892
325	3328	6881
326	3338	6870
327	3349	6863
328	3360	6853
329	3370	6843
330	3383	6838
331	3394	6829
332	3403	6817
333	3416	6811
334	3427	6803
335	3437	6792
336	3450	6788
337	3462	6780
338	3472	6771
339	3484	6763
340	3500	6765
341	3513	6760
342	3525	6752
343	3535	6741
344	3548	6736
345	3561	6731
346	3571	6721
347	3582	6712
348	3595	6706
349	3608	6701
350	3620	6694
351	3632	6687
352	3646	6682
353	3659	6678
354	3671	6671
355	3683	6663
356	3694	6655
357	3706	6647
358	3719	6640
359	3731	6633
360	3742	6624
361	3754	6616
362	3767	6612
363	3779	6603
364	3790	6593
365	3801	6585
366	3813	6577
367	3826	6572
368	3839	6566
369	3854	6562
370	3869	6559
371	3883	6555
372	3896	6550
373	3914	6551
374	3927	6545
375	3941	6541
376	3956	6538
377	3970	6533
378	3986	6531
379	3997	6522
380	4009	6514
381	4020	6504
382	4034	6500
383	4048	6493
384	4060	6485
385	4071	6476
386	4082	6467
387	4095	6459
388	4112	6460
389	4129	6458
390	4144	6455
391	4155	6444
392	4167	6437
393	4181	6431
394	4197	6428
395	4211	6423
396	4228	6422
397	4241	6415
398	4254	6408
399	4268	6402
400	4278	6391
401	4293	6387
402	4306	6380
403	4316	6367
404	4328	6358
405	4342	6353
406	4355	6345
407	4365	6334
408	4377	6325
409	4390	6318
410	4401	6307
411	4413	6298
412	4426	6291
413	4438	6282
414	4448	6270
415	4460	6262
416	4472	6253
417	4486	6246
418	4501	6241
419	4516	6236
420	4530	6231
421	4548	6230
422	4560	6221
423	4578	6220
424	4592	6212
425	4606	6206
426	4619	6198
427	4631	6190
428	4642	6179
429	4656	6171
430	4669	6164
431	4683	6157
432	4694	6147
433	4708	6140
434	4721	6132
435	4735	6125
436	4748	6117
437	4762	6110
438	4774	6100
439	4786	6091
440	4798	6082
441	4810	6073
442	4822	6063
443	4834	6053
444	4847	6045
445	4860	6037
446	4871	6026
447	4883	6016
448	4896	6009
449	4906	5997
450	4916	5984
451	4929	5976
452	4943	5968
453	4957	5961
454	4968	5951
455	4981	5942
456	4992	5932
457	5004	5922
458	5016	5912
459	5027	5902
460	5039	5892
461	5052	5883
462	5066	5876
463	5076	5864
464	5088	5854
465	5099	5844
466	5110	5833
467	5121	5822
468	5131	5810
469	5143	5800
470	5155	5790
471	5164	5777
472	5174	5765
473	5185	5754
474	5196	5743
475	5206	5731
476	5217	5720
477	5227	5708
478	5238	5698
479	5251	5689
480	5262	5677
481	5273	5667
482	5285	5658
483	5296	5646
484	5306	5635
485	5318	5624
486	5329	5613
487	5339	5601
488	5350	5591
489	5360	5579
490	5373	5570
491	5386	5561
492	5399	5552
493	5411	5542
494	5421	5531
495	5433	5521
496	5445	5511
497	5457	5500
498	5470	5492
499	5481	5481
500	5494	5472
501	5505	5461
502	5516	5450
503	5528	5440
504	5540	5430
505	5553	5421
506	5569	5415
507	5582	5407
508	5594	5397
509	5606	5386
510	5620	5378
511	5634	5370
512	5647	5361
513	5658	5350
514	5671	5341
515	5683	5331
516	5695	5321
517	5705	5309
518	5717	5299
519	5729	5288
520	5741	5278
521	5752	5267
522	5765	5258
523	5777	5248
524	5790	5239
525	5800	5226
526	5816	5220
527	5829	5211
528	5844	5203
529	5857	5194
530	5872	5187
531	5888	5179
532	5899	5168
533	5912	5159
534	5923	5148
535	5934	5137
536	5947	5128
537	5958	5116
538	5969	5105
539	5981	5095
540	5992	5084
541	6002	5072
542	6013	5061
543	6026	5051
544	6037	5040
545	6048	5029
546	6058	5017
547	6072	5008
548	6090	5003
549	6101	4992
550	6117	4985
551	6133	4977
552	6150	4971
553	6162	4961
554	6175	4951
555	6190	4943
556	6204	4934
557	6217	4924
558	6227	4912
559	6238	4901
560	6250	4891
561	6263	4881
562	6273	4869
563	6285	4859
564	6297	4848
565	6308	4837
566	6321	4827
567	6332	4816
568	6345	4806
569	6356	4795
570	6366	4782
571	6376	4771
572	6389	4761
573	6403	4752
574	6421	4746
575	6438	4739
576	6449	4727
577	6460	4716
578	6476	4709
579	6492	4701
580	6506	4692
581	6521	4683
582	6534	4673
583	6547	4664
584	6560	4654
585	6572	4643
586	6583	4631
587	6595	4621
588	6606	4609
589	6616	4598
590	6627	4586
591	6638	4575
592	6648	4563
593	6663	4554
594	6675	4543
595	6686	4532
596	6698	4521
597	6711	4511
598	6724	4501
599	6738	4492
600	6752	4482
601	6767	4474
602	6780	4463
603	6798	4457
604	6812	4448
605	6826	4438
606	6852	4436
607	6867	4427
608	6881	4418
609	6894	4408
610	6908	4398
611	6922	4388
612	6936	4379
613	6949	4369
614	6960	4357
615	6980	4351
616	6994	4341
617	7008	4331
618	7020	4320
619	7034	4311
620	7048	4301
621	7060	4290
622	7071	4279
623	7083	4268
624	7098	4258
625	7107	4246
626	7118	4234
627	7131	4224
628	7145	4214
629	7155	4202
630	7167	4191
631	7180	4180
632	7189	4168
633	7199	4156
634	7210	4144
635	7221	4133
636	7232	4121
637	7243	4109
638	7253	4098
639	7265	4086
640	7277	4075
641	7288	4064
642	7299	4052
643	7309	4040
644	7319	4028
645	7329	4016
646	7340	4004
647	7349	3992
648	7361	3981
649	7372	3969
650	7383	3958
651	7396	3947
652	7407	3936
653	7417	3924
654	7429	3913
655	7440	3901
656	7450	3889
657	7462	3878
658	7474	3867
659	7485	3856
660	7496	3844
661	7508	3833
662	7522	3823
663	7536	3813
664	7549	3803
665	7563	3792
666	7577	3783
667	7593	3773
668	7607	3764
669	7623	3754
670	7637	3744
671	7650	3734
672	7661	3722
673	7674	3711
674	7686	3700
675	7697	3689
676	7708	3677
677	7719	3666
678	7730	3654
679	7741	3642
680	7753	3631
681	7766	3621
682	7777	3609
683	7788	3598
684	7800	3586
685	7813	3576
686	7823	3564
687	7835	3553
688	7846	3541
689	7859	3530
690	7868	3518
691	7883	3509
692	7897	3498
693	7909	3487
694	7921	3476
695	7931	3464
696	7941	3452
697	7951	3440
698	7962	3428
699	7974	3417
700	7985	3405
701	7996	3394
702	8008	3383
703	8019	3371
704	8030	3360
705	8043	3349
706	8054	3338
707	8065	3326
708	8078	3315
709	8092	3305
710	8105	3294
711	8116	3282
712	8127	3271
713	8138	3260
714	8148	3248
715	8160	3236
716	8174	3226
717	8185	3215
718	8195	3203
719	8205	3191
720	8215	3179
721	8225	3167
722	8237	3155
723	8246	3143
724	8256	3131
725	8269	3121
726	8280	3109
727	8291	3098
728	8302	3086
729	8312	3074
730	8323	3062
731	8335	3051
732	8345	3039
733	8356	3028
734	8368	3017
735	8379	3005
736	8392	2994
737	8404	2983
738	8415	2972
739	8424	2960
740	8434	2948
741	8445	2936
742	8453	2923
743	8461	2911
744	8470	2899
745	8478	2886
746	8488	2875
747	8497	2862
748	8505	2850
749	8515	2838
750	8526	2826
751	8536	2815
752	8546	2803
753	8554	2791
754	8565	2779
755	8574	2767
756	8584	2755
757	8593	2743
758	8603	2731
759	8611	2719
760	8620	2707
761	8631	2695
762	8641	2684
763	8651	2672
764	8662	2661
765	8671	2649
766	8680	2636
767	8689	2625
768	8699	2613
769	8710	2601
770	8718	2589
771	8729	2578
772	8738	2566
773	8747	2554
774	8757	2542
775	8766	2530
776	8778	2519
777	8788	2507
778	8798	2496
779	8809	2484
780	8819	2472
781	8829	2461
782	8839	2449
783	8848	2437
784	8859	2426
785	8868	2414
786	8878	2402
787	8888	2391
788	8895	2379
789	8905	2367
790	8914	2355
791	8924	2343
792	8933	2331
793	8941	2319
794	8950	2307
795	8959	2296
796	8970	2284
797	8980	2273
798	8989	2261
799	9000	2250
800	9008	2238
801	9018	2226
802	9029	2215
803	9038	2203
804	9046	2191
805	9055	2179
806	9063	2167
807	9074	2156
808	9083	2144
809	9092	2132
810	9102	2121
811	9111	2109
812	9121	2097
813	9131	2086
814	9139	2074
815	9150	2063
816	9164	2052
817	9172	2040
818	9187	2030
819	9197	2019
820	9210	2008
821	9220	1996
822	9231	1985
823	9240	1973
824	9248	1961
825	9256	1949
826	9266	1938
827	9276	1927
828	9285	1915
829	9295	1903
830	9302	1891
831	9312	1880
832	9322	1868
833	9331	1857
834	9340	1845
835	9349	1834
836	9357	1822
837	9366	1810
838	9374	1799
839	9383	1787
840	9393	1775
841	9402	1764
842	9413	1753
843	9421	1741
844	9431	1730
845	9441	1718
846	9450	1707
847	9459	1695
848	9469	1684
849	9479	1672
850	9489	1661
851	9497	1649
852	9508	1638
853	9516	1626
854	9526	1615
855	9536	1604
856	9545	1592
857	9554	1581
858	9562	1569
859	9572	1558
860	9580	1546
861	9591	1535
862	9600	1524
863	9608	1512
864	9619	1501
865	9630	1490
866	9639	1478
867	9648	1467
868	9657	1455
869	9668	1444
870	9677	1433
871	9687	1421
872	9695	1410
873	9704	1399
874	9714	1387
875	9724	1376
876	9732	1365
877	9743	1353
878	9753	1342
879	9762	1331
880	9772	1319
881	9783	1308
882	9791	1297
883	9801	1286
884	9809	1274
885	9819	1263
886	9828	1252
887	9838	1240
888	9848	1229
889	9860	1218
890	9868	1207
891	9878	1196
892	9888	1184
893	9898	1173
894	9906	1162
895	9915	1150
896	9923	1139
897	9934	1128
898	9943	1117
899	9952	1105
900	9961	1094
901	9970	1083
902	9982	1072
903	9990	1060
904	10000	1049
905	10009	1038
906	10017	1027
907	10029	1016
908	10037	1004
909	10047	993
910	10056	982
911	10065	971
912	10075	960
913	10083	948
914	10094	937
915	10103	926
916	10114	915
917	10123	904
918	10132	893
919	10142	881
920	10151	870
921	10161	859
922	10170	848
923	10180	837
924	10189	826
925	10198	815
926	10207	803
927	10217	792
928	10227	781
929	10238	770
930	10248	759
931	10258	748
932	10266	737
933	10276	726
934	10286	715
935	10294	703
936	10303	692
937	10312	681
938	10321	670
939	10330	659
940	10340	648
941	10350	637
942	10360	626
943	10369	615
944	10379	604
945	10390	593
946	10400	582
947	10412	571
948	10422	560
949	10433	549
950	10443	538
951	10455	527
952	10466	516
953	10477	505
954	10488	494
955	10499	483
956	10510	472
957	10519	461
958	10529	450
959	10539	439
960	10551	428
961	10561	417
962	10572	406
963	10584	395
964	10596	384
965	10606	373
966	10618	362
967	10629	351
968	10640	340
969	10652	329
970	10664	318
971	10674	307
972	10685	296
973	10696	285
974	10706	274
975	10719	263
976	10731	252
977	10742	241
978	10754	230
979	10765	219
980	10776	208
981	10785	197
982	10796	186
983	10809	175
984	10818	164
985	10829	153
986	10840	142
987	10850	131
988	10862	120
989	10872	109
990	10882	98
991	10893	87
992	10905	76
993	10915	65
994	10926	54
995	10939	43
996	10950	32
997	10961	21
998	10972	10
999	10983	0
